Time,X(CH1),X(CH2),
Second,Volt,Volt,
-6.5418082e-01,-0.00000e+00,1.46000e-01,
-6.5388787e-01,2.00001e-01,1.50000e-01,
-6.5359491e-01,2.00001e-01,1.46000e-01,
-6.5330195e-01,-0.00000e+00,1.46000e-01,
-6.5300900e-01,2.00001e-01,1.48000e-01,
-6.5271604e-01,-0.00000e+00,1.48000e-01,
-6.5242308e-01,2.00001e-01,1.46000e-01,
-6.5213013e-01,-0.00000e+00,1.48000e-01,
-6.5183717e-01,2.00001e-01,1.46000e-01,
-6.5154421e-01,-0.00000e+00,1.46000e-01,
-6.5125126e-01,-0.00000e+00,1.46000e-01,
-6.5095830e-01,-0.00000e+00,1.46000e-01,
-6.5066534e-01,-0.00000e+00,1.42000e-01,
-6.5037239e-01,2.00001e-01,1.42000e-01,
-6.5007943e-01,-0.00000e+00,1.42000e-01,
-6.4978647e-01,-0.00000e+00,1.42000e-01,
-6.4949352e-01,-0.00000e+00,1.44000e-01,
-6.4920056e-01,-0.00000e+00,1.42000e-01,
-6.4890760e-01,-0.00000e+00,1.44000e-01,
-6.4861465e-01,-0.00000e+00,1.42000e-01,
-6.4832169e-01,-0.00000e+00,1.40000e-01,
-6.4802873e-01,-0.00000e+00,1.42000e-01,
-6.4773577e-01,-0.00000e+00,1.42000e-01,
-6.4744282e-01,2.00001e-01,1.42000e-01,
-6.4714986e-01,2.00001e-01,1.42000e-01,
-6.4685690e-01,-0.00000e+00,1.42000e-01,
-6.4656395e-01,2.00001e-01,1.44000e-01,
-6.4627099e-01,-0.00000e+00,1.44000e-01,
-6.4597803e-01,2.00001e-01,1.46000e-01,
-6.4568508e-01,-0.00000e+00,1.44000e-01,
-6.4539212e-01,-0.00000e+00,1.46000e-01,
-6.4509916e-01,-0.00000e+00,1.46000e-01,
-6.4480621e-01,-0.00000e+00,1.48000e-01,
-6.4451325e-01,-0.00000e+00,1.48000e-01,
-6.4422029e-01,-0.00000e+00,1.46000e-01,
-6.4392734e-01,-0.00000e+00,1.48000e-01,
-6.4363438e-01,2.00001e-01,1.48000e-01,
-6.4334142e-01,-0.00000e+00,1.48000e-01,
-6.4304847e-01,2.00001e-01,1.50000e-01,
-6.4275551e-01,-0.00000e+00,1.48000e-01,
-6.4246255e-01,-0.00000e+00,1.50000e-01,
-6.4216959e-01,-0.00000e+00,1.50000e-01,
-6.4187664e-01,-0.00000e+00,1.50000e-01,
-6.4158368e-01,-0.00000e+00,1.50000e-01,
-6.4129072e-01,-0.00000e+00,1.50000e-01,
-6.4099777e-01,-0.00000e+00,1.50000e-01,
-6.4070481e-01,2.00001e-01,1.50000e-01,
-6.4041185e-01,2.00001e-01,1.52000e-01,
-6.4011890e-01,-0.00000e+00,1.50000e-01,
-6.3982594e-01,-0.00000e+00,1.50000e-01,
-6.3953298e-01,-0.00000e+00,1.50000e-01,
-6.3924003e-01,-0.00000e+00,1.48000e-01,
-6.3894707e-01,-0.00000e+00,1.50000e-01,
-6.3865411e-01,-0.00000e+00,1.50000e-01,
-6.3836116e-01,2.00001e-01,1.50000e-01,
-6.3806820e-01,-0.00000e+00,1.50000e-01,
-6.3777524e-01,-0.00000e+00,1.50000e-01,
-6.3748229e-01,2.00001e-01,1.48000e-01,
-6.3718933e-01,-0.00000e+00,1.48000e-01,
-6.3689637e-01,-0.00000e+00,1.50000e-01,
-6.3660342e-01,2.00001e-01,1.48000e-01,
-6.3631046e-01,-0.00000e+00,1.50000e-01,
-6.3601750e-01,-0.00000e+00,1.46000e-01,
-6.3572454e-01,-0.00000e+00,1.48000e-01,
-6.3543159e-01,-0.00000e+00,1.50000e-01,
-6.3513863e-01,-0.00000e+00,1.48000e-01,
-6.3484567e-01,2.00001e-01,1.48000e-01,
-6.3455272e-01,-0.00000e+00,1.48000e-01,
-6.3425976e-01,-0.00000e+00,1.46000e-01,
-6.3396680e-01,-0.00000e+00,1.46000e-01,
-6.3367385e-01,-0.00000e+00,1.46000e-01,
-6.3338089e-01,-0.00000e+00,1.46000e-01,
-6.3308793e-01,-0.00000e+00,1.48000e-01,
-6.3279498e-01,-0.00000e+00,1.42000e-01,
-6.3250202e-01,2.00001e-01,1.44000e-01,
-6.3220906e-01,2.00001e-01,1.44000e-01,
-6.3191611e-01,-0.00000e+00,1.46000e-01,
-6.3162315e-01,2.00001e-01,1.46000e-01,
-6.3133019e-01,-0.00000e+00,1.46000e-01,
-6.3103724e-01,-0.00000e+00,1.48000e-01,
-6.3074428e-01,-0.00000e+00,1.50000e-01,
-6.3045132e-01,-0.00000e+00,1.48000e-01,
-6.3015836e-01,-0.00000e+00,1.50000e-01,
-6.2986541e-01,2.00001e-01,1.48000e-01,
-6.2957245e-01,-0.00000e+00,1.50000e-01,
-6.2927949e-01,-0.00000e+00,1.50000e-01,
-6.2898654e-01,-0.00000e+00,1.54000e-01,
-6.2869358e-01,-0.00000e+00,1.48000e-01,
-6.2840062e-01,2.00001e-01,1.50000e-01,
-6.2810767e-01,-0.00000e+00,1.50000e-01,
-6.2781471e-01,-0.00000e+00,1.54000e-01,
-6.2752175e-01,2.00001e-01,1.52000e-01,
-6.2722880e-01,-0.00000e+00,1.54000e-01,
